rawName,canonicalName,entityType,confidence,matchMethod
Araaa,Araaa,STARTUP,0.9,NORMALIZED_TITLE
Dilabmasters,Dilabmasters,STARTUP,0.9,NORMALIZED_TITLE
Sandeep12345,Sandeep12345,STARTUP,0.9,NORMALIZED_TITLE
Bin Zheng1,Bin Zheng1,STARTUP,0.9,NORMALIZED_TITLE
Goodpinokio,Goodpinokio,STARTUP,0.9,NORMALIZED_TITLE
Ktokunaga,Ktokunaga,STARTUP,0.9,NORMALIZED_TITLE
Poonehmousavi,Poonehmousavi,STARTUP,0.9,NORMALIZED_TITLE
Ckchan,Ckchan,STARTUP,0.9,NORMALIZED_TITLE
Mayankt1234,Mayankt1234,STARTUP,0.9,NORMALIZED_TITLE
Subhrajit Mohanty,Subhrajit Mohanty,STARTUP,0.9,NORMALIZED_TITLE
Nagupv,Nagupv,STARTUP,0.9,NORMALIZED_TITLE
Chirag4579,Chirag4579,STARTUP,0.9,NORMALIZED_TITLE
Candra,Candra,STARTUP,0.9,NORMALIZED_TITLE
Llmcode,Llmcode,STARTUP,0.9,NORMALIZED_TITLE
Adi Ds,Adi Ds,STARTUP,0.9,NORMALIZED_TITLE
Parinzee,Parinzee,STARTUP,0.9,NORMALIZED_TITLE
Royam0820,Royam0820,STARTUP,0.9,NORMALIZED_TITLE
Irfanalisoomro,Irfanalisoomro,STARTUP,0.9,NORMALIZED_TITLE
Ashutoshrana171,Ashutoshrana171,STARTUP,0.9,NORMALIZED_TITLE
Ian 14,Ian 14,STARTUP,0.9,NORMALIZED_TITLE
Samlikesphysics,Samlikesphysics,STARTUP,0.9,NORMALIZED_TITLE
Mfdlr,Mfdlr,STARTUP,0.9,NORMALIZED_TITLE
Sojiodu,Sojiodu,STARTUP,0.9,NORMALIZED_TITLE
Jojo0217,Jojo0217,STARTUP,0.9,NORMALIZED_TITLE
Ichsan2895,Ichsan2895,STARTUP,0.9,NORMALIZED_TITLE
Mbzuai Llm,Mbzuai Llm,STARTUP,0.9,NORMALIZED_TITLE
Ranjit,Ranjit,STARTUP,0.9,NORMALIZED_TITLE
Aongwachi,Aongwachi,STARTUP,0.9,NORMALIZED_TITLE
Pinaki Ds,Pinaki Ds,STARTUP,0.9,NORMALIZED_TITLE
Rohansapru,Rohansapru,STARTUP,0.9,NORMALIZED_TITLE
Tchebonenko,Tchebonenko,STARTUP,0.9,NORMALIZED_TITLE
Rakeshsharma01,Rakeshsharma01,STARTUP,0.9,NORMALIZED_TITLE
Kazchoko,Kazchoko,STARTUP,0.9,NORMALIZED_TITLE
Sambitchakhf03,Sambitchakhf03,STARTUP,0.9,NORMALIZED_TITLE
Doggoesbark,Doggoesbark,STARTUP,0.9,NORMALIZED_TITLE
Akaigraham,Akaigraham,STARTUP,0.9,NORMALIZED_TITLE
Tallalusman,Tallalusman,STARTUP,0.9,NORMALIZED_TITLE
Siddhant3C,Siddhant3C,STARTUP,0.9,NORMALIZED_TITLE
Kujirahand,Kujirahand,STARTUP,0.9,NORMALIZED_TITLE
Itsrocchi,Itsrocchi,STARTUP,0.9,NORMALIZED_TITLE
Siddhantdube22,Siddhantdube22,STARTUP,0.9,NORMALIZED_TITLE
Praveen998,Praveen998,STARTUP,0.9,NORMALIZED_TITLE
Gopinathk Llm,Gopinathk Llm,STARTUP,0.9,NORMALIZED_TITLE
Qwe1256,Qwe1256,STARTUP,0.9,NORMALIZED_TITLE
Zhangbo2008,Zhangbo2008,STARTUP,0.9,NORMALIZED_TITLE
Ayber99,Ayber99,STARTUP,0.9,NORMALIZED_TITLE
Iusegptlol,Iusegptlol,STARTUP,0.9,NORMALIZED_TITLE
Ruanwz,Ruanwz,STARTUP,0.9,NORMALIZED_TITLE
Leemeng,Leemeng,STARTUP,0.9,NORMALIZED_TITLE
Zain18,Zain18,STARTUP,0.9,NORMALIZED_TITLE
Closerforever,Closerforever,STARTUP,0.9,NORMALIZED_TITLE
Huifan,Huifan,STARTUP,0.9,NORMALIZED_TITLE
Arthurx007,Arthurx007,STARTUP,0.9,NORMALIZED_TITLE
Vageesh1,Vageesh1,STARTUP,0.9,NORMALIZED_TITLE
Openskyml,Openskyml,STARTUP,0.9,NORMALIZED_TITLE
Decentral Inc,Decentral,STARTUP,0.9,NORMALIZED_TITLE
Shruthipriya,Shruthipriya,STARTUP,0.9,NORMALIZED_TITLE
D1Msh1Mm32,D1Msh1Mm32,STARTUP,0.9,NORMALIZED_TITLE
Harish03,Harish03,STARTUP,0.9,NORMALIZED_TITLE
Theosphil,Theosphil,STARTUP,0.9,NORMALIZED_TITLE
Mahmoud22,Mahmoud22,STARTUP,0.9,NORMALIZED_TITLE
Bsjs,Bsjs,STARTUP,0.9,NORMALIZED_TITLE
Mustafamegahed,Mustafamegahed,STARTUP,0.9,NORMALIZED_TITLE
Ashishnehra,Ashishnehra,STARTUP,0.9,NORMALIZED_TITLE
Didilima,Didilima,STARTUP,0.9,NORMALIZED_TITLE
Zeekayyyy,Zeekayyyy,STARTUP,0.9,NORMALIZED_TITLE
Peed911,Peed911,STARTUP,0.9,NORMALIZED_TITLE
Saugatkafley,Saugatkafley,STARTUP,0.9,NORMALIZED_TITLE
Harshsinyal,Harshsinyal,STARTUP,0.9,NORMALIZED_TITLE
Victorasso,Victorasso,STARTUP,0.9,NORMALIZED_TITLE
Alibaba Pai,Alibaba Pai,STARTUP,0.9,NORMALIZED_TITLE
Nani008,Nani008,STARTUP,0.9,NORMALIZED_TITLE
Asimsultan,Asimsultan,STARTUP,0.9,NORMALIZED_TITLE
Xalphaai,Xalphaai,STARTUP,0.9,NORMALIZED_TITLE
Tiztes,Tiztes,STARTUP,0.9,NORMALIZED_TITLE
Atwk Llm,Atwk Llm,STARTUP,0.9,NORMALIZED_TITLE
Conorvanek,Conorvanek,STARTUP,0.9,NORMALIZED_TITLE
Gothstaf,Gothstaf,STARTUP,0.9,NORMALIZED_TITLE
Dhmkshetty,Dhmkshetty,STARTUP,0.9,NORMALIZED_TITLE
Guanglong,Guanglong,STARTUP,0.9,NORMALIZED_TITLE
Compressed Llm,Compressed Llm,STARTUP,0.9,NORMALIZED_TITLE
Hmxiong,Hmxiong,STARTUP,0.9,NORMALIZED_TITLE
Lpy22,Lpy22,STARTUP,0.9,NORMALIZED_TITLE
42Dot,42Dot,STARTUP,0.9,NORMALIZED_TITLE
Masonbarnes,Masonbarnes,STARTUP,0.9,NORMALIZED_TITLE
Joechaung,Joechaung,STARTUP,0.9,NORMALIZED_TITLE
Millen93,Millen93,STARTUP,0.9,NORMALIZED_TITLE
Jaspsing,Jaspsing,STARTUP,0.9,NORMALIZED_TITLE
Elibrig,Elibrig,STARTUP,0.9,NORMALIZED_TITLE
Gaganpreetsingh,Gaganpreetsingh,STARTUP,0.9,NORMALIZED_TITLE
Thedexter00,Thedexter00,STARTUP,0.9,NORMALIZED_TITLE
Caisarl76,Caisarl76,STARTUP,0.9,NORMALIZED_TITLE
Manish1903,Manish1903,STARTUP,0.9,NORMALIZED_TITLE
Kudzo,Kudzo,STARTUP,0.9,NORMALIZED_TITLE
Xyan13,Xyan13,STARTUP,0.9,NORMALIZED_TITLE
Agarikipati,Agarikipati,STARTUP,0.9,NORMALIZED_TITLE
Edwardgao,Edwardgao,STARTUP,0.9,NORMALIZED_TITLE
Noahbschwartz,Noahbschwartz,STARTUP,0.9,NORMALIZED_TITLE
Simonwsy,Simonwsy,STARTUP,0.9,NORMALIZED_TITLE
Llmglobalytest,Llmglobalytest,STARTUP,0.9,NORMALIZED_TITLE
Alexzhukov,Alexzhukov,STARTUP,0.9,NORMALIZED_TITLE
Kishanicegram,Kishanicegram,STARTUP,0.9,NORMALIZED_TITLE
Nadilazev,Nadilazev,STARTUP,0.9,NORMALIZED_TITLE
Maverickrzw,Maverickrzw,STARTUP,0.9,NORMALIZED_TITLE
Tanibt,Tanibt,STARTUP,0.9,NORMALIZED_TITLE
Liric24,Liric24,STARTUP,0.9,NORMALIZED_TITLE
